"MacroTrends Data Download"
"CVX - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1970-01-02,3.3922,3.4672,3.3922,3.4672,526400
1970-01-05,3.4672,3.5090,3.4585,3.4837,1121600
1970-01-06,3.4837,3.5003,3.4174,3.4340,553600
1970-01-07,3.4340,3.4426,3.3922,3.4254,451200
1970-01-08,3.4672,3.5169,3.4672,3.4917,635200
1970-01-09,3.4917,3.5003,3.4758,3.5003,515200
1970-01-12,3.5003,3.5249,3.4506,3.4758,334400
1970-01-13,3.4758,3.4758,3.4174,3.4254,372800
1970-01-14,3.4254,3.4254,3.2926,3.3179,1124800
1970-01-15,3.3179,3.3344,3.2926,3.3099,336000
1970-01-16,3.3099,3.3179,3.2767,3.3099,425600
1970-01-19,3.3099,3.3099,3.2767,3.3013,508800
1970-01-20,3.3013,3.3013,3.2595,3.2681,588800
1970-01-21,3.2681,3.2767,3.2349,3.2435,454400
1970-01-22,3.2435,3.2847,3.2183,3.2515,640000
1970-01-23,3.2515,3.2515,3.2183,3.2349,427200
1970-01-26,3.2349,3.2349,3.1599,3.2104,732800
1970-01-27,3.2017,3.2017,3.1267,3.2017,540800
1970-01-28,3.2017,3.2183,3.0936,3.0936,499200
1970-01-29,3.0936,3.1188,3.0524,3.0856,696000
1970-01-30,3.0856,3.1188,3.0358,3.0604,817600
1970-02-02,3.0604,3.0856,3.0358,3.0524,937600
1970-02-03,3.0524,3.0604,3.0192,3.0272,1971200
1970-02-04,3.0272,3.0604,3.0272,3.0524,534400
1970-02-05,3.0524,3.0524,3.0272,3.0524,337600
1970-02-06,3.0524,3.0524,3.0272,3.0358,272000
1970-02-09,3.0358,3.0524,3.0272,3.0272,558400
1970-02-10,3.0272,3.0445,2.8699,2.8699,996800
1970-02-11,2.8699,2.9363,2.8036,2.9363,878400
1970-02-12,2.9363,2.9695,2.8368,2.8699,816000
1970-02-13,2.8699,2.9277,2.8281,2.8865,492800
1970-02-16,2.8865,2.9197,2.8613,2.9197,488000
1970-02-17,2.9197,2.9277,2.8786,2.9031,451200
1970-02-18,2.9197,2.9861,2.9197,2.9781,1028800
1970-02-19,2.9861,3.0358,2.9861,3.0113,824000
1970-02-20,3.0113,3.0524,3.0113,3.0524,1166400
1970-02-24,3.0524,3.0524,3.0272,3.0524,1043200
1970-02-25,3.0690,3.1520,3.0690,3.1520,593600
1970-02-26,3.1520,3.2104,3.1440,3.1851,862400
1970-02-27,3.1851,3.2183,3.1520,3.1520,1246400
1970-03-02,3.1520,3.1520,3.0690,3.0936,518400
1970-03-03,3.0936,3.1188,3.0272,3.0776,544000
1970-03-04,3.0776,3.1108,3.0445,3.0524,422400
1970-03-05,3.0445,3.0445,3.0113,3.0358,684800
1970-03-06,3.0358,3.0604,3.0192,3.0604,481600
1970-03-09,3.0604,3.1022,3.0192,3.0445,524800
1970-03-10,3.0445,3.0776,3.0272,3.0604,430400
1970-03-11,3.0604,3.0776,3.0524,3.0604,843200
1970-03-12,3.0604,3.0604,3.0272,3.0445,539200
1970-03-13,3.0445,3.0445,2.9695,3.0027,688000
1970-03-16,2.9781,2.9781,2.8699,2.9781,732800
1970-03-17,2.9781,2.9940,2.9363,2.9781,564800
1970-03-18,2.9781,3.0358,2.9609,3.0027,436800
1970-03-19,3.0027,3.0027,2.9277,2.9277,827200
1970-03-20,2.9277,2.9363,2.9031,2.9363,372800
1970-03-23,2.9197,2.9197,2.8786,2.9031,539200
1970-03-24,2.9031,2.9529,2.8865,2.9277,355200
1970-03-25,2.9449,3.0445,2.9449,2.9861,987200
1970-03-26,2.9781,2.9781,2.8865,2.9197,1644800
1970-03-30,2.9197,2.9197,2.8945,2.9118,628800
1970-03-31,2.9118,2.9609,2.9031,2.9529,579200
1970-04-01,2.9529,3.0113,2.9529,3.0113,1028800
1970-04-02,3.0113,3.0113,2.9277,2.9529,1150400
1970-04-03,2.9529,2.9861,2.9363,2.9861,449600
1970-04-06,2.9861,3.0027,2.9609,2.9940,384000
1970-04-07,2.9940,2.9940,2.9529,2.9529,422400
1970-04-08,2.9529,2.9781,2.9449,2.9781,321600
1970-04-09,2.9695,2.9695,2.9197,2.9695,520000
1970-04-10,2.9695,2.9695,2.9449,2.9529,360000
1970-04-13,2.9529,2.9695,2.9277,2.9363,408000
1970-04-14,2.9363,2.9363,2.9031,2.9118,563200
1970-04-15,2.9118,2.9197,2.8945,2.9118,385600
1970-04-16,2.9118,2.9118,2.8534,2.8699,816000
1970-04-17,2.8699,2.8945,2.8534,2.8786,286400
1970-04-20,2.8786,2.9031,2.8699,2.8786,350400
1970-04-21,2.8786,2.8945,2.8613,2.8786,302400
1970-04-22,2.8786,2.8786,2.8202,2.8613,440000
1970-04-23,2.8613,2.8699,2.8202,2.8534,516800
1970-04-24,2.8534,2.8699,2.8036,2.8122,548800
1970-04-27,2.8122,2.8368,2.7870,2.7870,582400
1970-04-28,2.7870,2.8122,2.7206,2.7459,860800
1970-04-29,2.7459,2.7790,2.6543,2.7704,873600
1970-04-30,2.7704,2.8122,2.7459,2.7704,430400
1970-05-01,2.7704,2.7704,2.6875,2.7704,707200
1970-05-04,2.7704,2.7790,2.6875,2.7206,537600
1970-05-05,2.7127,2.7127,2.6622,2.6709,633600
1970-05-06,2.6709,2.6875,2.6377,2.6622,1187200
1970-05-07,2.6622,2.6795,2.6291,2.6622,563200
1970-05-08,2.6622,2.6795,2.6463,2.6543,531200
1970-05-11,2.6543,2.6622,2.6211,2.6463,580800
1970-05-12,2.6463,2.6875,2.6045,2.6463,913600
1970-05-13,2.6463,2.6543,2.5627,2.6291,742400
1970-05-14,2.6291,2.7127,2.6211,2.6709,846400
1970-05-15,2.6709,2.7206,2.6463,2.7206,449600
1970-05-18,2.7206,2.7538,2.6875,2.7538,518400
1970-05-19,2.7538,2.7790,2.7041,2.7041,273600
1970-05-20,2.7041,2.7206,2.6543,2.6709,337600
1970-05-21,2.6709,2.6875,2.6211,2.6377,577600
1970-05-22,2.6377,2.7127,2.6291,2.6463,348800
1970-05-25,2.6463,2.6543,2.6211,2.6377,334400
1970-05-26,2.6377,2.6463,2.5959,2.6377,532800
1970-05-27,2.6377,2.7704,2.6291,2.7206,625600
1970-05-28,2.7286,2.8281,2.7286,2.8202,505600
1970-05-29,2.8202,2.8945,2.7950,2.8865,544000
1970-06-01,2.8865,2.9529,2.8613,2.9449,537600
1970-06-02,2.9449,2.9609,2.8534,2.9118,435200
1970-06-03,2.9118,2.9781,2.8865,2.9609,420800
1970-06-04,2.9609,2.9861,2.8613,2.8613,587200
1970-06-05,2.8454,2.8454,2.7870,2.7950,382400
1970-06-08,2.7950,2.8202,2.7618,2.7790,334400
1970-06-09,2.7704,2.7704,2.7206,2.7286,260800
1970-06-10,2.7286,2.7459,2.6954,2.7286,406400
1970-06-11,2.7286,2.7372,2.6709,2.7206,353600
1970-06-12,2.7206,2.7459,2.6954,2.7286,329600
1970-06-15,2.7206,2.7206,2.6954,2.7206,294400
1970-06-16,2.7206,2.8122,2.6954,2.7790,491200
1970-06-17,2.7790,2.8281,2.7372,2.7618,376000
1970-06-18,2.7618,2.7950,2.7206,2.7950,452800
1970-06-19,2.7950,2.8122,2.7618,2.7790,355200
1970-06-22,2.7704,2.7704,2.7206,2.7459,288000
1970-06-23,2.7459,2.7538,2.7206,2.7286,321600
1970-06-24,2.7127,2.7127,2.6543,2.6795,448000
1970-06-25,2.6795,2.6875,2.6543,2.6709,300800
1970-06-26,2.6709,2.6795,2.6543,2.6795,291200
1970-06-29,2.6709,2.6709,2.6543,2.6709,238400
1970-06-30,2.6709,2.6795,2.6543,2.6709,313600
1970-07-01,2.6709,2.6795,2.6377,2.6622,321600
1970-07-02,2.6622,2.6795,2.6377,2.6463,307200
1970-07-06,2.6463,2.6463,2.5627,2.5800,907200
1970-07-07,2.5800,2.5879,2.5382,2.5547,545600
1970-07-08,2.5547,2.5800,2.5216,2.5800,585600
1970-07-09,2.5800,2.6045,2.5627,2.5879,529600
1970-07-10,2.6045,2.6377,2.6045,2.6291,556800
1970-07-13,2.6377,2.6543,2.6377,2.6543,464000
1970-07-14,2.6543,2.6709,2.6291,2.6377,387200
1970-07-15,2.6377,2.6709,2.6291,2.6463,366400
