"MacroTrends Data Download"
"XOM - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1970-01-02,0.5795,0.5818,0.5782,0.5818,1174400
1970-01-05,0.5818,0.5912,0.5806,0.5912,1881600
1970-01-06,0.5912,0.5924,0.5842,0.5900,1232000
1970-01-07,0.5900,0.5900,0.5854,0.5865,918400
1970-01-08,0.5865,0.5912,0.5842,0.5876,1075200
1970-01-09,0.5876,0.5900,0.5854,0.5900,1072000
1970-01-12,0.5900,0.5912,0.5854,0.5854,892800
1970-01-13,0.5854,0.5888,0.5830,0.5830,1248000
1970-01-14,0.5830,0.5842,0.5806,0.5842,1328000
1970-01-15,0.5842,0.5842,0.5771,0.5782,1206400
1970-01-16,0.5782,0.5818,0.5782,0.5806,1100800
1970-01-19,0.5806,0.5818,0.5771,0.5806,700800
1970-01-20,0.5806,0.5842,0.5782,0.5782,1241600
1970-01-21,0.5782,0.5818,0.5771,0.5771,841600
1970-01-22,0.5771,0.5782,0.5724,0.5736,1382400
1970-01-23,0.5736,0.5736,0.5643,0.5654,1878400
1970-01-26,0.5654,0.5677,0.5630,0.5666,1043200
1970-01-27,0.5643,0.5643,0.5583,0.5630,2054400
1970-01-28,0.5630,0.5630,0.5443,0.5455,1488000
1970-01-29,0.5407,0.5407,0.5337,0.5337,1548800
1970-01-30,0.5325,0.5325,0.5255,0.5291,2172800
1970-02-02,0.5291,0.5291,0.5255,0.5255,2755200
1970-02-03,0.5255,0.5396,0.5232,0.5361,2572800
1970-02-04,0.5361,0.5372,0.5325,0.5349,2003200
1970-02-05,0.5349,0.5349,0.5325,0.5337,1676800
1970-02-06,0.5267,0.5267,0.5197,0.5208,1635200
1970-02-09,0.5208,0.5232,0.5173,0.5185,1398400
1970-02-10,0.5161,0.5161,0.4950,0.4997,2777600
1970-02-11,0.4997,0.5032,0.4927,0.5032,2316800
1970-02-12,0.5020,0.5020,0.4833,0.4903,2611200
1970-02-13,0.4903,0.4915,0.4833,0.4880,2380800
1970-02-16,0.4762,0.4762,0.4704,0.4728,3497600
