U.S. Ending Stocks of Crude Oil Monthly
https://www.eia.gov/opendata/v1/qb.php?sdid=PET.MCRSTUS1.M
00:20:56 GMT+0200 (Central European Summer Time)
Source: U.S. Energy Information Administration
Month,Series ID: PET.MCRSTUS1.M Thousand Barrels
Apr 2022,966982
Mar 2022,980451
Feb 2022,988001
Jan 2022,1002590
Dec 2021,1015102
Nov 2021,1035439
Oct 2021,1047237
Sep 2021,1038118
Aug 2021,1043019
Jul 2021,1060220
Jun 2021,1069255
May 2021,1104179
Apr 2021,1123158
Mar 2021,1139676
Feb 2021,1130928
Jan 2021,1113938
Dec 2020,1123557
Nov 2020,1138837
Oct 2020,1132478
Sep 2020,1139910
Aug 2020,1151929
Jul 2020,1176264
Jun 2020,1188680
May 2020,1169919
Apr 2020,1166861
Mar 2020,1118308
Feb 2020,1087530
Jan 2020,1075220
Dec 2019,1067739
Nov 2019,1080854
Oct 2019,1084520
Sep 2019,1070432
Aug 2019,1074936
Jul 2019,1086406
Jun 2019,1108264
May 2019,1125943
Apr 2019,1118390
Mar 2019,1108016
Feb 2019,1100786
Jan 2019,1098111
Dec 2018,1091640
Nov 2018,1098946
Oct 2018,1088648
Sep 2018,1076693
Aug 2018,1067594
Jul 2018,1069654
Jun 2018,1075167
May 2018,1094364
Apr 2018,1100544
Mar 2018,1090395
Feb 2018,1089301
Jan 2018,1084994
Dec 2017,1084477
Nov 2017,1114332
Oct 2017,1128682
Sep 2017,1143228
Aug 2017,1138781
Jul 2017,1162294
Jun 2017,1180731
May 2017,1201286
Apr 2017,1213073
Mar 2017,1230105
Feb 2017,1220244
Jan 2017,1201876
Dec 2016,1179704
Nov 2016,1185818
Oct 2016,1186290
Sep 2016,1166627
Aug 2016,1181768
Jul 2016,1188554
Jun 2016,1195957
May 2016,1206965
Apr 2016,1204430
Mar 2016,1199923
Feb 2016,1187267
Jan 2016,1166883
Dec 2015,1144339
Nov 2015,1151117
Oct 2015,1150339
Sep 2015,1124257
Aug 2015,1120983
Jul 2015,1119943
Jun 2015,1132701
May 2015,1141306
Apr 2015,1143660
Mar 2015,1134150
Feb 2015,1106266
Jan 2015,1080169
Dec 2014,1051824
Nov 2014,1047692
Oct 2014,1042683
Sep 2014,1023124
Aug 2014,1022048
Jul 2014,1029709
Jun 2014,1045277
May 2014,1056432
Apr 2014,1058654
Mar 2014,1050916
Feb 2014,1041243
Jan 2014,1032207
Dec 2013,1023160
Nov 2013,1040141
Oct 2013,1048566
Sep 2013,1039985
Aug 2013,1033096
Jul 2013,1035360
Jun 2013,1044776
May 2013,1059273
Apr 2013,1063524
Mar 2013,1060590
Feb 2013,1052768
Jan 2013,1045099
Dec 2012,1033064
Nov 2012,1047363
Oct 2012,1044483
Sep 2012,1038294
Aug 2012,1032341
Jul 2012,1042627
Jun 2012,1058104
May 2012,1059710
Apr 2012,1052996
Mar 2012,1043559
Feb 2012,1018830
Jan 2012,1013833
Dec 2011,1004172
Nov 2011,1010553
Oct 2011,1010873
Sep 2011,1004196
Aug 2011,1021273
Jul 2011,1042507
Jun 2011,1060230
May 2011,1072614
Apr 2011,1070955
Mar 2011,1064963
Feb 2011,1053356
Jan 2011,1050002
Dec 2010,1038627
Nov 2010,1057989
Oct 2010,1073380
Sep 2010,1068831
Aug 2010,1065300
Jul 2010,1063603
Jun 2010,1071579
May 2010,1067876
Apr 2010,1069234
Mar 2010,1065046
Feb 2010,1048983
Jan 2010,1042716
Dec 2009,1033756
Nov 2009,1044975
Oct 2009,1039490
Sep 2009,1042160
Aug 2009,1041638
Jul 2009,1051308
Jun 2009,1052755
May 2009,1062804
Apr 2009,1070957
Mar 2009,1061228
Feb 2009,1044826
Jan 2009,1036940
Dec 2008,1010068
Nov 2008,1005839
Oct 2008,996991
Sep 2008,988897
Aug 2008,992226
Jul 2008,985063
Jun 2008,984209
May 2008,990403
Apr 2008,1003707
Mar 2008,997590
Feb 2008,983449
Jan 2008,977076
Dec 2007,965334
Nov 2007,977683
Oct 2007,984162
Sep 2007,986844
Aug 2007,993907
Jul 2007,1009750
Jun 2007,1027223
May 2007,1026358
Apr 2007,1014183
Mar 2007,1002143
Feb 2007,988891
Jan 2007,995938
Dec 2006,984424
Nov 2006,1006789
Oct 2006,1011522
Sep 2006,1004436
Aug 2006,1004462
Jul 2006,1003232
Jun 2006,1008370
May 2006,1012886
Apr 2006,1019145
Mar 2006,1012471
Feb 2006,1011152
Jan 2006,990662
Dec 2005,992195
Nov 2005,991953
Oct 2005,991273
Sep 2005,983986
Aug 2005,994300
Jul 2005,1001211
Jun 2005,1008280
May 2005,1013967
Apr 2005,1013597
Mar 2005,991656
Feb 2005,968023
Jan 2005,949984
Dec 2004,961341
Nov 2004,961002
Oct 2004,956988
Sep 2004,943221
Aug 2004,947645
Jul 2004,960090
Jun 2004,967223
May 2004,965847
Apr 2004,961512
Mar 2004,949487
Feb 2004,931178
Jan 2004,912762
Dec 2003,907263
Nov 2003,914825
Oct 2003,925515
Sep 2003,911019
Aug 2003,897795
Jul 2003,897329
Jun 2003,893135
May 2003,888639
Apr 2003,890960
Mar 2003,880834
Feb 2003,870333
Jan 2003,873292
Dec 2002,876705
Nov 2002,883966
Oct 2002,881093
Sep 2002,857873
Aug 2002,878478
Jul 2002,882788
Jun 2002,894005
May 2002,898286
Apr 2002,891391
Mar 2002,894990
Feb 2002,887308
Jan 2002,874899
Dec 2001,862221
Nov 2001,859515
Oct 2001,858443
Sep 2001,854047
Aug 2001,851669
Jul 2001,856617
Jun 2001,851519
May 2001,871634
Apr 2001,872927
Mar 2001,850834
Feb 2001,824144
Jan 2001,836002
Dec 2000,826185
Nov 2000,833947
Oct 2000,842376
Sep 2000,848239
Aug 2000,858652
Jul 2000,852541
Jun 2000,859516
May 2000,864125
Apr 2000,873246
Mar 2000,866500
Feb 2000,855217
Jan 2000,852375
Dec 1999,851723
Nov 1999,867442
Oct 1999,876338
Sep 1999,878988
Aug 1999,890031
Jul 1999,907568
Jun 1999,906519
May 1999,913582
Apr 1999,907930
Mar 1999,916948
Feb 1999,905571
Jan 1999,904161
Dec 1998,894948
Nov 1998,903793
Oct 1998,894173
Sep 1998,873199
Aug 1998,892418
Jul 1998,901494
Jun 1998,895705
May 1998,914303
Apr 1998,914575
Mar 1998,897910
Feb 1998,881231
Jan 1998,880184
Dec 1997,868119
Nov 1997,886952
Oct 1997,879396
Sep 1997,867219
Aug 1997,864360
Jul 1997,873145
Jun 1997,883778
May 1997,889737
Apr 1997,882597
Mar 1997,876687
Feb 1997,860581
Jan 1997,863988
Dec 1996,849669
Nov 1996,869110
Oct 1996,881542
Sep 1996,875775
Aug 1996,890731
Jul 1996,891317
Jun 1996,898889
May 1996,889730
Apr 1996,889663
Mar 1996,888782
Feb 1996,892886
Jan 1996,894711
Dec 1995,894968
Nov 1995,910629
Oct 1995,902735
Sep 1995,897514
Aug 1995,899423
Jul 1995,907269
Jun 1995,919583
May 1995,924021
Apr 1995,928116
Mar 1995,931158
Feb 1995,920756
Jan 1995,922134
Dec 1994,928915
Nov 1994,937960
Oct 1994,934912
Sep 1994,927002
Aug 1994,920194
Jul 1994,924200
Jun 1994,919603
May 1994,922722
Apr 1994,930564
Mar 1994,932601
Feb 1994,922544
Jan 1994,925259
Dec 1993,922465
Nov 1993,924101
Oct 1993,916568
Sep 1993,906389
Aug 1993,919558
Jul 1993,935206
Jun 1993,935029
May 1993,934981
Apr 1993,930413
Mar 1993,914724
Feb 1993,908143
Jan 1993,902010
Dec 1992,892864
Nov 1992,899424
Oct 1992,906237
Sep 1992,893496
Aug 1992,898308
Jul 1992,902156
Jun 1992,894593
May 1992,912027
Apr 1992,916506
Mar 1992,907047
Feb 1992,914810
Jan 1992,909844
Dec 1991,893102
Nov 1991,912029
Oct 1991,910739
Sep 1991,909144
Aug 1991,913810
Jul 1991,910602
Jun 1991,915330
May 1991,924291
Apr 1991,906741
Mar 1991,905253
Feb 1991,912662
Jan 1991,906188
Dec 1990,908387
Nov 1990,924744
Oct 1990,935670
Sep 1990,932216
Aug 1990,959106
Jul 1990,966139
Jun 1990,970901
May 1990,968727
Apr 1990,953890
Mar 1990,953124
Feb 1990,920353
Jan 1990,929603
Dec 1989,921148
Nov 1989,930496
Oct 1989,914281
Sep 1989,912019
Aug 1989,916352
Jul 1989,907582
Jun 1989,902986
May 1989,916017
Apr 1989,907605
Mar 1989,892794
Feb 1989,896735
Jan 1989,895431
Dec 1988,889874
Nov 1988,895687
Oct 1988,895589
Sep 1988,883219
Aug 1988,885709
Jul 1988,900834
Jun 1988,908914
May 1988,907614
Apr 1988,904635
Mar 1988,898941
Feb 1988,892167
Jan 1988,888303
Dec 1987,889643
Nov 1987,902184
Oct 1987,891546
Sep 1987,871054
Aug 1987,864446
Jul 1987,853762
Jun 1987,854785
May 1987,849832
Apr 1987,850940
Mar 1987,852438
Feb 1987,848567
Jan 1987,847939
Dec 1986,842789
Nov 1986,848555
Oct 1986,851406
Sep 1986,844184
Aug 1986,837687
Jul 1986,845198
Jun 1986,828441
May 1986,828517
Apr 1986,836572
Mar 1986,837792
Feb 1986,827105
Jan 1986,826069
Dec 1985,814208
Nov 1985,812407
Oct 1985,803568
Sep 1985,806620
Aug 1985,805600
Jul 1985,810515
Jun 1985,820629
May 1985,828560
Apr 1985,806848
Mar 1985,791241
Feb 1985,781647
Jan 1985,793536
Dec 1984,795881
Nov 1984,786885
Oct 1984,779810
Sep 1984,756276
Aug 1984,764083
Jul 1984,771821
Jun 1984,766593
May 1984,763473
Apr 1984,742474
Mar 1984,728184
Feb 1984,727398
Jan 1984,733109
Dec 1983,722939
Nov 1983,712725
Oct 1983,716159
Sep 1983,707659
Aug 1983,700482
Jul 1983,675803
Jun 1983,683014
May 1983,679354
Apr 1983,678885
Mar 1983,666833
Feb 1983,669398
Jan 1983,660448
Dec 1982,643557
Nov 1982,647513
Oct 1982,635561
Sep 1982,618559
Aug 1982,626462
Jul 1982,612835
Jun 1982,608271
May 1982,609458
Apr 1982,610353
Mar 1982,609246
Feb 1982,613003
Jan 1982,606233
Dec 1981,593805
Nov 1981,588537
Oct 1981,578800
Sep 1981,555229
Aug 1981,546675
Jul 1981,558980
Jun 1981,547817
May 1981,543776
Apr 1981,531667
Mar 1981,513814
Feb 1981,494218
Jan 1981,486445
Dec 1980,465966
Nov 1980,475397
Oct 1980,475148
Sep 1980,469212
Aug 1980,478414
Jul 1980,469933
Jun 1980,472663
May 1980,474611
Apr 1980,470979
Mar 1980,458611
Feb 1980,457156
Jan 1980,448691
Dec 1979,430265
Nov 1979,438606
Oct 1979,436045
Sep 1979,415128
Aug 1979,412154
Jul 1979,403047
Jun 1979,414427
May 1979,403202
Apr 1979,402942
Mar 1979,399191
Feb 1979,380540
Jan 1979,375201
Dec 1978,376281
Nov 1978,381357
Oct 1978,378194
Sep 1978,368262
Aug 1978,357834
Jul 1978,368157
Jun 1978,363480
May 1978,354730
Apr 1978,365188
Mar 1978,363919
Feb 1978,350166
Jan 1978,352477
Dec 1977,347683
Nov 1977,350281
Oct 1977,343195
Sep 1977,334133
Aug 1977,338865
Jul 1977,335313
Jun 1977,333746
May 1977,328755
Apr 1977,318872
Mar 1977,299533
Feb 1977,291462
Jan 1977,294116
Dec 1976,285471
Nov 1976,298836
Oct 1976,297683
Sep 1976,284357
Aug 1976,277272
Jul 1976,282599
Jun 1976,281715
May 1976,283982
Apr 1976,286628
Mar 1976,283112
Feb 1976,277414
Jan 1976,289296
Dec 1975,271354
Nov 1975,270950
Oct 1975,269584
Sep 1975,259446
Aug 1975,256616
Jul 1975,264157
Jun 1975,276132
May 1975,280961
Apr 1975,281908
Mar 1975,279989
Feb 1975,276755
Jan 1975,270462
Dec 1974,265020
Nov 1974,271144
Oct 1974,269437
Sep 1974,266726
Aug 1974,264840
Jul 1974,268686
Jun 1974,268765
May 1974,269455
Apr 1974,256385
Mar 1974,244665
Feb 1974,240723
Jan 1974,233035
Dec 1973,242478
Nov 1973,249998
Oct 1973,246297
Sep 1973,241276
Aug 1973,248314
Jul 1973,243673
