U.S. Exports of Crude Oil Monthly
https://www.eia.gov/opendata/v1/qb.php?sdid=PET.MCREXUS1.M
00:27:02 GMT+0200 (Central European Summer Time)
Source: U.S. Energy Information Administration
Month,Series ID: PET.MCREXUS1.M Thousand Barrels
Apr 2022,97177
Mar 2022,102883
Feb 2022,92654
Jan 2022,103760
Dec 2021,107023
Nov 2021,93311
Oct 2021,89908
Sep 2021,79995
Aug 2021,92876
Jul 2021,83694
Jun 2021,100484
May 2021,84814
Apr 2021,98503
Mar 2021,83243
Feb 2021,75670
Jan 2021,98117
Dec 2020,104048
Nov 2020,83584
Oct 2020,91105
Sep 2020,97938
Aug 2020,105664
Jul 2020,103631
Jun 2020,82421
May 2020,98493
Apr 2020,86479
Mar 2020,112385
Feb 2020,102577
Jan 2020,105017
Dec 2019,109648
Nov 2019,92408
Oct 2019,105770
Sep 2019,92780
Aug 2019,85406
Jul 2019,83883
Jun 2019,92995
May 2019,91722
Apr 2019,87321
Mar 2019,82864
Feb 2019,81617
Jan 2019,81931
Dec 2018,74109
Nov 2018,72013
Oct 2018,69951
Sep 2018,60453
Aug 2018,57619
Jul 2018,71509
Jun 2018,68366
May 2018,64080
Apr 2018,57581
Mar 2018,61050
Feb 2018,48589
Jan 2018,42221
Dec 2017,47184
Nov 2017,46323
Oct 2017,53327
Sep 2017,43899
Aug 2017,25338
Jul 2017,29642
Jun 2017,25953
May 2017,34049
Apr 2017,33835
Mar 2017,28831
Feb 2017,32092
Jan 2017,22046
Dec 2016,14518
Nov 2016,18170
Oct 2016,15552
Sep 2016,23241
Aug 2016,22331
Jul 2016,16612
Jun 2016,15915
May 2016,24414
Apr 2016,18714
Mar 2016,18471
Feb 2016,13161
Jan 2016,15176
Dec 2015,12162
Nov 2015,9592
Oct 2015,15503
Sep 2015,12314
Aug 2015,14286
Jul 2015,16934
Jun 2015,13355
May 2015,16338
Apr 2015,17969
Mar 2015,13565
Feb 2015,12380
Jan 2015,15342
Dec 2014,13053
Nov 2014,15619
Oct 2014,11653
Sep 2014,10479
Aug 2014,12136
Jul 2014,13045
Jun 2014,11833
May 2014,9567
Apr 2014,8448
Mar 2014,7794
Feb 2014,6907
Jan 2014,7698
Dec 2013,6834
Nov 2013,7578
Oct 2013,3679
Sep 2013,3162
Aug 2013,2192
Jul 2013,3217
Jun 2013,3723
May 2013,4034
Apr 2013,4151
Mar 2013,3310
Feb 2013,3705
Jan 2013,3384
Dec 2012,2191
Nov 2012,2201
Oct 2012,2079
Sep 2012,2038
Aug 2012,1866
Jul 2012,2388
Jun 2012,1381
May 2012,2571
Apr 2012,1228
Mar 2012,2196
Feb 2012,2127
Jan 2012,2425
Dec 2011,1646
Nov 2011,1928
Oct 2011,1568
Sep 2011,1065
Aug 2011,1047
Jul 2011,2263
Jun 2011,1066
May 2011,1148
Apr 2011,1227
Mar 2011,1126
Feb 2011,847
Jan 2011,2228
Dec 2010,1249
Nov 2010,953
Oct 2010,728
Sep 2010,1838
Aug 2010,1113
Jul 2010,2140
Jun 2010,937
May 2010,1121
Apr 2010,1095
Mar 2010,1395
Feb 2010,1621
Jan 2010,1008
Dec 2009,2022
Nov 2009,1365
Oct 2009,2241
Sep 2009,1265
Aug 2009,1091
Jul 2009,971
Jun 2009,1698
May 2009,1634
Apr 2009,799
Mar 2009,943
Feb 2009,833
Jan 2009,1122
Dec 2008,1413
Nov 2008,916
Oct 2008,1321
Sep 2008,1173
Aug 2008,1234
Jul 2008,894
Jun 2008,659
May 2008,581
Apr 2008,419
Mar 2008,910
Feb 2008,578
Jan 2008,364
Dec 2007,626
Nov 2007,603
Oct 2007,337
Sep 2007,1013
Aug 2007,1307
Jul 2007,822
Jun 2007,1565
May 2007,1117
Apr 2007,573
Mar 2007,1047
Feb 2007,703
Jan 2007,294
Dec 2006,839
Nov 2006,714
Oct 2006,1152
Sep 2006,631
Aug 2006,472
Jul 2006,414
Jun 2006,987
May 2006,829
Apr 2006,794
Mar 2006,903
Feb 2006,415
Jan 2006,849
Dec 2005,759
Nov 2005,1445
Oct 2005,530
Sep 2005,727
Aug 2005,531
Jul 2005,1058
Jun 2005,640
May 2005,1694
Apr 2005,1345
Mar 2005,1111
Feb 2005,541
Jan 2005,1239
Dec 2004,933
Nov 2004,1253
Oct 2004,786
Sep 2004,1040
Aug 2004,409
Jul 2004,549
Jun 2004,1349
May 2004,809
Apr 2004,1640
Mar 2004,599
Feb 2004,223
Jan 2004,191
Dec 2003,109
Nov 2003,638
Oct 2003,433
