U.S. Field Production of Crude Oil Monthly
https://www.eia.gov/opendata/v1/qb.php?sdid=PET.MCRFPUS1.M
00:41:23 GMT+0200 (Central European Summer Time)
Source: U.S. Energy Information Administration
Month,Series ID: PET.MCRFPUS1.M Thousand Barrels
Apr 2022,348849
Mar 2022,362329
Feb 2022,316851
Jan 2022,352449
Dec 2021,359709
Nov 2021,353075
Oct 2021,357314
Sep 2021,325538
Aug 2021,347393
Jul 2021,351228
Jun 2021,338645
May 2021,351346
Apr 2021,336905
Mar 2021,345946
Feb 2021,273646
Jan 2021,342747
Dec 2020,343591
Nov 2020,333621
Oct 2020,322816
Sep 2020,326042
Aug 2020,327285
Jul 2020,339651
Jun 2020,312593
May 2020,301045
Apr 2020,357344
Mar 2020,397298
Feb 2020,371949
Jan 2020,396329
Dec 2019,400219
Nov 2019,388984
Oct 2019,395900
Sep 2019,377169
Aug 2019,386725
Jul 2019,368765
Jun 2019,365366
May 2019,376362
Apr 2019,363737
Mar 2019,368867
Feb 2019,326272
Jan 2019,367286
Dec 2018,369644
Nov 2018,356028
Oct 2018,356138
Sep 2018,342660
Aug 2018,352575
Jul 2018,337540
Jun 2018,318837
May 2018,323159
Apr 2018,314803
Mar 2018,324296
Feb 2018,287727
Jan 2018,309881
Dec 2017,309359
Nov 2017,302310
Oct 2017,299429
Sep 2017,285487
Aug 2017,286596
Jul 2017,286635
Jun 2017,273309
May 2017,284718
Apr 2017,273090
Mar 2017,284208
Feb 2017,255059
Jan 2017,275058
Dec 2016,273244
Nov 2016,267035
Oct 2016,272860
Sep 2016,256249
Aug 2016,269331
Jul 2016,268470
Jun 2016,260163
May 2016,273781
Apr 2016,266122
Mar 2016,281716
Feb 2016,262841
Jan 2016,285245
Dec 2015,287528
Nov 2015,279975
Oct 2015,291410
Sep 2015,284398
Aug 2015,291691
Jul 2015,292813
Jun 2015,280747
May 2015,293683
Apr 2015,289735
Mar 2015,297040
Feb 2015,266115
Jan 2015,290856
Dec 2014,296480
Nov 2014,279793
Oct 2014,287193
Sep 2014,272571
Aug 2014,276813
Jul 2014,274131
Jun 2014,262288
May 2014,267996
Apr 2014,255795
Mar 2014,257220
Feb 2014,228401
Jan 2014,250425
Dec 2013,245947
Nov 2013,237602
Oct 2013,240594
Sep 2013,235183
Aug 2013,233609
Jul 2013,233238
Jun 2013,218381
May 2013,227152
Apr 2013,221261
Mar 2013,223674
Feb 2013,200376
Jan 2013,219590
Dec 2012,220259
Nov 2012,212424
Oct 2012,216041
Sep 2012,197923
Aug 2012,196854
Jul 2012,199361
Jun 2012,188255
May 2012,197441
Apr 2012,189590
Mar 2012,196116
Feb 2012,181759
Jan 2012,191439
Dec 2011,189487
Nov 2011,181157
Oct 2011,182977
Sep 2011,168411
Aug 2011,175618
Jul 2011,168635
Jun 2011,167673
May 2011,174363
Apr 2011,166858
Mar 2011,174158
Feb 2011,151354
Jan 2011,170393
Dec 2010,173831
Nov 2010,167272
Oct 2010,174547
Sep 2010,168473
Aug 2010,168867
Jul 2010,164234
Jun 2010,161385
May 2010,167427
Apr 2010,161769
Mar 2010,170976
Feb 2010,155496
Jan 2010,167529
Dec 2009,169004
Nov 2009,161838
Oct 2009,171258
Sep 2009,166765
Aug 2009,167945
Jul 2009,167336
Jun 2009,158079
May 2009,166684
Apr 2009,158344
Mar 2009,161776
Feb 2009,146698
Jan 2009,159467
Dec 2008,158183
Nov 2008,152343
Oct 2008,146868
Sep 2008,119208
Aug 2008,155092
Jul 2008,160481
Jun 2008,154133
May 2008,159437
Apr 2008,155403
Mar 2008,160868
Feb 2008,149297
Jan 2008,158566
Dec 2007,158427
Nov 2007,151021
Oct 2007,155680
Sep 2007,147061
Aug 2007,154060
Jul 2007,156175
Jun 2007,152254
May 2007,161548
Apr 2007,155407
Mar 2007,158697
Feb 2007,143301
Jan 2007,158342
Dec 2006,160768
Nov 2006,151926
Oct 2006,158353
Sep 2006,150926
Aug 2006,156232
Jul 2006,157919
Jun 2006,154884
May 2006,159667
Apr 2006,152450
Mar 2006,155842
Feb 2006,140894
Jan 2006,156480
Dec 2005,154630
Nov 2005,145708
Oct 2005,141200
Sep 2005,126417
Aug 2005,161153
Jul 2005,162854
Jun 2005,163263
May 2005,173491
Apr 2005,166885
Mar 2005,173626
Feb 2005,154038
Jan 2005,168831
Dec 2004,170815
Nov 2004,162699
Oct 2004,160270
Sep 2004,152444
Aug 2004,165072
Jul 2004,170011
Jun 2004,162208
May 2004,172235
Apr 2004,166810
Mar 2004,174115
Feb 2004,161583
Jan 2004,173132
Dec 2003,172715
Nov 2003,166397
Oct 2003,174020
Sep 2003,168270
Aug 2003,172787
Jul 2003,170452
Jun 2003,169772
May 2003,175568
Apr 2003,171774
Mar 2003,179907
Feb 2003,161920
Jan 2003,178412
Dec 2002,177372
Nov 2002,168706
Oct 2002,166105
Sep 2002,162336
Aug 2002,179670
Jul 2002,178275
Jun 2002,176532
May 2002,183057
Apr 2002,175333
Mar 2002,182460
Feb 2002,164666
Jan 2002,182076
Dec 2001,182511
Nov 2001,176441
Oct 2001,178129
Sep 2001,171270
Aug 2001,177488
Jul 2001,178208
Jun 2001,172974
May 2001,180712
Apr 2001,175879
Mar 2001,182290
Feb 2001,161843
Jan 2001,179767
Dec 2000,181508
Nov 2000,174980
Oct 2000,180080
Sep 2000,172731
Aug 2000,179451
Jul 2000,177920
Jun 2000,174686
May 2000,181242
Apr 2000,175625
Mar 2000,183464
Feb 2000,169703
Jan 2000,179316
Dec 1999,184716
Nov 1999,178811
Oct 1999,184361
Sep 1999,174113
Aug 1999,179187
Jul 1999,179738
Jun 1999,172808
May 1999,182122
Apr 1999,176616
Mar 1999,182362
Feb 1999,167034
Jan 1999,184864
Dec 1998,187347
Nov 1998,184198
Oct 1998,190420
Sep 1998,173676
Aug 1998,192282
Jul 1998,192026
Jun 1998,188018
May 1998,196754
Apr 1998,194483
Mar 1998,198639
Feb 1998,181321
Jan 1998,202756
Dec 1997,202464
Nov 1997,193778
Oct 1997,200482
Sep 1997,194575
Aug 1997,196769
Jul 1997,198691
