U.S. Imports of Crude Oil Monthly
https://www.eia.gov/opendata/v1/qb.php?sdid=PET.MCRIMUS1.M
00:18:46 GMT+0200 (Central European Summer Time)
Source: U.S. Energy Information Administration
Month,Series ID: PET.MCRIMUS1.M Thousand Barrels
Apr 2022,181770
Mar 2022,198883
Feb 2022,172325
Jan 2022,197873
Dec 2021,199068
Nov 2021,190010
Oct 2021,185112
Sep 2021,195784
Aug 2021,193332
Jul 2021,198242
Jun 2021,198051
May 2021,180654
Apr 2021,174564
Mar 2021,179397
Feb 2021,156502
Jan 2021,179284
Dec 2020,177092
Nov 2020,167107
Oct 2020,164088
Sep 2020,161926
Aug 2020,167927
Jul 2020,183087
Jun 2020,191789
May 2020,188693
Apr 2020,165586
Mar 2020,195181
Feb 2020,189059
Jan 2020,198732
Dec 2019,211837
Nov 2019,174531
Oct 2019,193493
Sep 2019,194485
Aug 2019,215273
Jul 2019,215083
Jun 2019,214563
May 2019,221769
Apr 2019,209958
Mar 2019,210276
Feb 2019,186757
Jan 2019,234307
Dec 2018,220002
Nov 2018,226251
Oct 2018,227975
Sep 2018,227795
Aug 2018,247656
Jul 2018,246014
Jun 2018,254623
May 2018,242857
Apr 2018,247608
Mar 2018,236216
Feb 2018,209942
Jan 2018,248552
Dec 2017,241245
Nov 2017,230230
Oct 2017,238109
Sep 2017,219708
Aug 2017,245611
Jul 2017,245369
Jun 2017,242677
May 2017,263106
Apr 2017,246132
Mar 2017,253114
Feb 2017,220558
Jan 2017,262811
Dec 2016,242335
Nov 2016,240691
Oct 2016,234666
Sep 2016,241213
Aug 2016,248482
Jul 2016,250986
Jun 2016,226802
May 2016,245749
Apr 2016,228344
Mar 2016,248383
Feb 2016,229492
Jan 2016,236065
Dec 2015,244965
Nov 2015,221130
Oct 2015,220171
Sep 2015,216838
Aug 2015,239212
Jul 2015,228160
Jun 2015,219618
May 2015,224604
Apr 2015,216229
Mar 2015,235360
Feb 2015,198807
Jan 2015,222315
Dec 2014,223978
Nov 2014,218845
Oct 2014,221600
Sep 2014,224851
Aug 2014,231649
Jul 2014,236534
Jun 2014,212025
May 2014,222177
Apr 2014,226639
Mar 2014,225487
Feb 2014,201572
Jan 2014,235269
Dec 2013,240919
Nov 2013,222248
Oct 2013,231822
Sep 2013,237699
Aug 2013,251079
Jul 2013,249788
Jun 2013,231930
May 2013,239970
Apr 2013,232807
Mar 2013,232398
Feb 2013,204191
Jan 2013,246629
Dec 2012,235719
Nov 2012,245487
Oct 2012,251338
Sep 2012,251431
Aug 2012,268600
Jul 2012,270061
Jun 2012,275790
May 2012,278720
Apr 2012,259077
Mar 2012,271888
Feb 2012,248296
Jan 2012,264348
Dec 2011,270037
Nov 2011,261729
Oct 2011,276125
Sep 2011,267410
Aug 2011,277006
Jul 2011,287563
Jun 2011,277050
May 2011,280840
Apr 2011,265167
Mar 2011,284677
Feb 2011,229140
Jan 2011,284678
Dec 2010,269553
Nov 2010,260966
Oct 2010,264726
Sep 2010,276863
Aug 2010,295837
Jul 2010,307894
Jun 2010,297814
May 2010,299304
Apr 2010,291766
Mar 2010,289582
Feb 2010,245302
Jan 2010,263249
Dec 2009,253260
Nov 2009,262201
Oct 2009,265536
Sep 2009,277619
Aug 2009,273235
Jul 2009,281911
Jun 2009,274054
May 2009,272716
Apr 2009,281218
Mar 2009,290728
Feb 2009,254061
Jan 2009,303136
Dec 2008,291995
Nov 2008,298309
Oct 2008,312681
Sep 2008,253396
Aug 2008,320049
Jul 2008,314092
Jun 2008,300528
May 2008,299584
Apr 2008,299373
Mar 2008,298712
Feb 2008,279439
Jan 2008,312536
Dec 2007,304870
Nov 2007,300115
Oct 2007,303317
Sep 2007,309200
Aug 2007,319805
Jul 2007,308120
Jun 2007,300437
May 2007,320168
Apr 2007,304815
Mar 2007,321781
Feb 2007,252238
Jan 2007,316538
Dec 2006,296219
Nov 2006,296627
Oct 2006,313272
Sep 2006,321298
Aug 2006,327476
Jul 2006,317114
Jun 2006,321369
May 2006,319400
Apr 2006,295774
Mar 2006,302241
Feb 2006,279530
Jan 2006,302761
Dec 2005,309886
Nov 2005,307852
Oct 2005,292751
Sep 2005,274650
Aug 2005,322526
Jul 2005,321697
Jun 2005,322953
May 2005,323400
Apr 2005,306734
Mar 2005,317497
Feb 2005,286124
Jan 2005,309901
Dec 2004,313120
Nov 2004,307154
Oct 2004,321222
Sep 2004,290923
Aug 2004,324258
Jul 2004,319253
Jun 2004,315989
May 2004,324012
Apr 2004,303443
Mar 2004,312739
Feb 2004,270188
Jan 2004,289762
Dec 2003,300206
Nov 2003,280530
Oct 2003,311950
Sep 2003,308615
Aug 2003,310705
Jul 2003,311061
Jun 2003,301151
May 2003,314748
Apr 2003,297835
Mar 2003,285994
Feb 2003,237278
Jan 2003,267623
Dec 2002,270973
Nov 2002,289623
Oct 2002,295480
Sep 2002,263909
Aug 2002,295874
Jul 2002,284708
Jun 2002,279718
May 2002,289026
Apr 2002,279024
Mar 2002,272781
Feb 2002,245094
Jan 2002,269965
Dec 2001,274020
Nov 2001,279594
Oct 2001,285531
Sep 2001,280182
Aug 2001,290870
Jul 2001,296127
Jun 2001,273160
May 2001,306450
Apr 2001,303320
Mar 2001,297683
Feb 2001,241046
Jan 2001,276911
Dec 2000,286114
Nov 2000,267387
Oct 2000,278052
